Date,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,cad_ig_er_index,us_hy_er_index,us_ig_er_index,spx_1bf_eps,spx_1bf_sales,tsx_1bf_eps,tsx_1bf_sales
2004-01-26,62.255893,351.419036,91.835565,8594.92,14.55,408.625,0.60209,-0.33281,7.3,0.315,0.16,1.0,103.19159381639322,111.95276226747104,103.42953946957915,64.022,688.5323,565.8579,6113.5497
2004-01-27,55.951397,361.360956,92.523201,8588.18,15.35,404.14,0.59388,-0.33115,7.3,0.315,0.16,1.0,103.12053061179944,111.51699543985971,103.41371072091009,64.0322,688.9244,565.8579,6113.5497
2004-01-28,71.439107,355.599209,91.372769,8535.71,16.78,407.483,0.53287,-0.32949,7.3,0.2991,0.16,1.0,103.25362723082273,111.76668482704673,103.4616768761649,63.9996,689.5466,565.8579,6113.5497
2004-01-29,63.815007,366.502932,92.170648,8449.36,17.14,406.822,0.52787,-0.36472,7.3,0.2866,0.16,1.0,103.15420803823827,111.24488643682047,103.44788645171973,64.0593,689.1877,565.8579,6113.5497
2004-01-30,54.143354,374.366673,93.039391,8521.39,16.63,404.754,0.52856,-0.3629,7.3,0.2866,0.1,1.0,103.09801113966472,110.92892254740674,103.37225172222819,64.1632,689.1818,565.8579,6113.5497
2004-01-31,54.143354,374.366673,93.039391,8521.39,16.63,404.754,0.52856,-0.3629,8.3,0.2866,0.1,1.0,103.09801113966472,110.92892254740674,103.37225172222819,64.1632,689.1818,565.8579,6113.5497
2004-02-02,62.894566,379.193052,93.514265,8639.89,17.11,406.272,0.51778,-0.30993,8.3,0.2777,0.1,1.0,103.17835807478157,110.72949396430997,103.30002383236346,64.2825,690.2591,565.8579,6113.5497
2004-02-03,60.119059,389.893034,94.477223,8660.7,17.34,402.021,0.49644,-0.30838,8.3,0.1903,0.1,1.0,103.14800757547147,110.21854310346684,103.25957212707017,64.3035,691.1409,565.8579,6113.5497
2004-02-04,65.85242,392.369414,94.210142,8538.12,17.87,403.076,0.51803,-0.30684,8.3,0.2133,0.1,1.0,103.15904421413865,110.06476600139477,103.26938807729455,64.3275,690.9534,565.8579,6113.5497
2004-02-05,63.240669,395.924923,93.690711,8548.41,17.71,404.779,0.51515,-0.32855,8.3,0.1945,0.1,1.0,103.13741301921013,109.87734467747978,103.29253828016313,64.4007,691.2785,565.8579,6113.5497
2004-02-06,54.378274,404.940367,94.970844,8638.61,16.0,399.499,0.50888,-0.32691,8.3,0.1833,0.17,1.0,103.05613565484376,109.4838586606372,103.2503052343076,64.4605,692.2577,565.8579,6113.5497
2004-02-09,58.970019,399.413423,94.655786,8695.2,16.39,397.134,0.51771,-0.32528,8.3,0.1667,0.17,1.0,103.11586304407246,109.80005603062476,103.29247738845214,64.599,692.6161,565.8579,6113.5497
2004-02-10,64.118255,395.305136,94.587379,8751.51,15.94,402.132,0.51512,-0.32365,8.3,0.1667,0.17,1.0,103.17332347584785,109.95964822398398,103.29343514282164,64.7058,692.3792,565.8579,6113.5497
2004-02-11,56.258383,402.038749,94.207864,8767.73,15.39,398.218,0.51255,-0.32203,8.3,0.1667,0.17,1.0,103.11166634551267,109.67378140553564,103.31682581634549,64.707,692.4989,565.8579,6113.5497
2004-02-12,62.768145,392.674224,94.083622,8725.04,15.31,401.355,0.50864,-0.32042,8.3,0.1749,0.17,1.0,103.21459032628682,110.10402800699765,103.3127305907656,64.7861,693.1294,565.8579,6113.5497
2004-02-13,59.823492,396.941654,93.587453,8694.46,15.58,400.343,0.45164,-0.26526,8.3,0.1749,0.1,1.0,103.17561922006249,109.95610765002402,103.36576004659878,64.79,692.6019,565.8579,6113.5497
2004-02-16,59.823492,396.941654,93.587453,8747.51,15.58,400.343,0.44938,-0.26393,8.3,0.1749,0.1,1.0,103.17561922006249,109.95610765002402,103.36576004659878,64.8863,692.6428,565.8579,6113.5497
2004-02-17,62.455024,393.916992,93.445481,8767.1,15.4,399.74,0.4423,-0.26261,8.3,0.1341,0.1,1.0,103.19408284314808,110.08816996257704,103.38914039949364,64.9666,693.254,565.8579,6113.5497
2004-02-18,64.234805,394.603397,93.213322,8717.83,15.59,400.978,0.42831,-0.2613,8.3,0.0483,0.1,1.0,103.20390735354432,110.03227383627998,103.39557840785237,65.0078,693.3622,565.8579,6113.5497
2004-02-19,61.213954,396.513599,93.198265,8699.09,15.8,399.731,0.41705,-0.25999,8.3,0.0376,0.1,1.0,103.19517982437378,109.99372981084547,103.39374236795655,65.0348,693.2027,565.8579,6113.5497
2004-02-20,64.456504,393.160532,92.848515,8641.93,16.04,404.652,0.41496,-0.12551,8.3,0.0376,0.12,1.0,103.17196227327727,110.13703207553016,103.39937536725469,64.9351,690.6099,565.8579,6113.5497
2004-02-23,56.802411,403.815502,93.727056,8609.62,16.29,395.767,0.41289,-0.12489,8.3,0.0376,0.12,1.0,103.18405682542266,109.59869821837331,103.3585634720099,64.9377,690.0754,565.8579,6113.5497
2004-02-24,58.701491,409.711212,94.286734,8604.99,15.9,394.756,0.3949,-0.12426,8.3,0.0376,0.12,1.0,103.23667696890323,109.30527781009279,103.32441457483566,64.9778,690.0472,565.8579,6113.5497
2004-02-25,60.345514,407.694465,94.476079,8637.32,14.93,393.707,0.39292,-0.12364,8.3,0.0376,0.12,1.0,103.24523383370314,109.3915242186818,103.31567300208826,65.048,689.5173,565.8579,6113.5497
2004-02-26,60.746628,405.011473,94.499097,8737.84,14.83,395.586,0.38167,-0.12302,8.3,0.0169,0.12,1.0,103.26553878141405,109.53423127232615,103.31283482911832,65.1174,689.7344,565.8579,6113.5497
2004-02-27,56.991062,407.895757,94.087086,8788.49,14.55,389.882,0.40151,-0.12241,8.3,0.0169,0.15,1.0,103.21202419213559,109.37843286425341,103.34089042694184,65.1645,689.66,565.8579,6113.5497
2004-02-29,56.991062,407.895757,94.087086,8788.49,14.55,389.882,0.40151,-0.12241,9.7,0.0169,0.15,1.0,103.21202419213559,109.37843286425341,103.34089042694184,65.1645,689.66,565.8579,6113.5497
2004-03-01,62.793555,399.774092,94.398324,8874.67,14.44,388.666,0.38485,-0.05887,9.7,-0.0303,0.15,1.0,103.21839326307581,109.6394235881361,103.35160117569895,65.0988,687.5614,565.8579,6113.5497
2004-03-02,66.154436,393.83817,94.118298,8808.0,14.86,394.977,0.37757,-0.05858,9.7,-0.0407,0.15,1.0,103.22385143864024,109.94365535275314,103.36095166555626,65.1588,687.1202,565.8579,6113.5497
2004-03-03,67.530665,391.917331,93.842461,8795.69,14.55,394.599,0.37569,-0.05828,9.7,-0.0407,0.15,1.0,103.2378335798488,110.01961765456436,103.37163558067799,65.256,686.1423,565.8579,6113.5497
2004-03-04,64.538129,394.205708,94.04915,8773.27,14.4,392.09,0.36937,-0.03238,9.7,-0.054,0.15,1.0,103.20838163873105,109.90259017558242,103.37004413968903,65.4266,684.4776,565.8579,6113.5497
2004-03-05,55.415972,406.621648,94.867089,8845.04,14.48,381.16,0.3763,-0.03222,9.7,-0.036,0.17,1.0,103.14702471319238,109.28304234793258,103.34718704268352,65.3892,684.3398,565.8579,6113.5497
2004-03-08,59.82386,408.026788,95.72695,8801.21,15.79,376.535,0.37442,-0.03206,9.7,-0.036,0.17,1.0,103.21207045657343,109.23352363937515,103.30022611669152,65.45,683.9349,565.8579,6113.5497
2004-03-09,65.271609,410.905678,96.822455,8750.31,16.6,372.121,0.37255,-0.0319,9.7,-0.036,0.17,1.0,103.15857026067562,109.05153484937517,103.22782277613413,65.424,683.408,565.8579,6113.5497
2004-03-10,67.15508,409.227966,96.647605,8585.42,18.67,372.108,0.35341,-0.03174,9.7,-0.0035,0.17,1.0,103.11324653308894,109.07903074944058,103.23993197011822,65.4421,683.5292,565.8579,6113.5497
